Month,জোগান,চাহিদা,জিডিপি,বিনিয়োগ,Email,বৈদেশিক মুদ্রা,বৈদেশিক বাণিজ্য,তেল,ঋণ,Email_file1,ঋণ_file2,দেনা,গবাদি পশু,ঋণসমূহ,Email_file2,ঋণসমূহ_file3,দেনাসমূহ,দুর্নীতি,ঘুষ,Email_file3,চুক্তি,পাচার,পাচারকারী,ব্যবসা,Email_file4,স্থগিতাদেশ,স্থগিত ঘোষণা,জ্বালানী,বিদেশি,Email_file5,বৈদেশিক,বিনিয়োগকারী,শুল্ক,গুদাম,Email_file6,আড়ত,শুল্ক বিভাগ,কাস্টমস বিভাগ,লাইসেন্স,Email_file7,অনুমতিপত্র,পাঠানো,চালান,শিপমেন্ট,Email_file8,টাকা,Email_file9,নিষেধাজ্ঞা,চাকরি,রোজগার,কর্মসংস্থান,Email_file10,বাধা,বিধিনিষেধ,নিষেধাজ্ঞা_file11,বেকারত্ব,Email_file11,মুদ্রা,শ্রম বাজার,বাজার,বিনিময় হার,Email_file12,কর,করসমূহ,পণ্য,দ্রব্য,Email_file13,উৎপাদনের স্তর,ঋতুভিত্তিক কাজ,মৌসুমি কাজ,অস্থায়ী কাজ,Email_file14,নিষেধাজ্ঞা_file15,প্রবাসী নেটওয়ার্ক,প্রবাসী জনগোষ্ঠী,আমদানি,Email_file15,রপ্তানি,বাণিজ্য,স্থানীয় অর্থনীতি,ব্যবসায়ী,Email_file16,অপ্রাতিষ্ঠানিক খাত,অপ্রাতিষ্ঠানিক বাজার,কালোবাজার,বিদেশি মুদ্রা,Email_file17,অর্থনীতি,রেমিট্যান্স,নিষেধাজ্ঞা_file18,সরবরাহ,Email_file18
2004-01,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,68,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2004-02,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2004-03,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,84.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,100.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2004-04,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2004-05,0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0,65,0,0,0.0,0.0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,65,0.0,56,0.0,0.0,62,0.0,0.0,0.0,0.0,65,0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,65,0.0,0.0,0,0.0,65,0.0,0,0.0,0.0,65,0.0,0,0,0.0,65,0.0,0.0,0,0.0,65,0.0,0.0,0,0.0,65,0,0,0.0,0.0,65,0.0,0.0,0.0,0.0,65
2004-06,0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0,62,0,0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0,0.0,0.0,59,0.0,0.0,0.0,0.0,62,0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0,0.0,62,0.0,0,0.0,0.0,62,0.0,0,0,0.0,62,0.0,0.0,0,0.0,62,0.0,0.0,0,0.0,62,0,0,0.0,0.0,62,0.0,0.0,0.0,0.0,62
2004-07,0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0,100,0,0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0,0.0,0.0,95,0.0,0.0,0.0,0.0,100,0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,100,0.0,0.0,0,0.0,100,0.0,0,0.0,0.0,100,0.0,0,0,0.0,100,0.0,0.0,0,0.0,100,0.0,0.0,0,0.0,100,0,0,0.0,0.0,100,0.0,0.0,0.0,0.0,100
2004-08,0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0,72,0,0,0.0,0.0,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,72,0.0,0,0.0,0.0,68,0.0,0.0,0.0,0.0,72,0,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,72,0.0,0.0,0,0.0,72,0.0,0,0.0,0.0,72,0.0,0,0,0.0,72,0.0,0.0,0,0.0,72,0.0,0.0,0,0.0,72,0,0,0.0,0.0,72,0.0,0.0,0.0,0.0,72
2004-09,0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0,68,0,0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0.0,0,0.0,0.0,64,0.0,0.0,0.0,0.0,68,0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,68,0.0,0.0,0,0.0,68,0.0,0,0.0,0.0,68,0.0,0,0,0.0,68,0.0,0.0,0,0.0,68,0.0,0.0,0,0.0,68,0,0,0.0,0.0,68,0.0,0.0,0.0,0.0,68
2004-10,0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0,69,0,0,0.0,0.0,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,69,0.0,0,0.0,0.0,65,0.0,0.0,0.0,0.0,69,0,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0.0,0.0,69,0.0,0.0,0,0.0,69,0.0,0,0.0,0.0,69,0.0,0,0,0.0,69,0.0,0.0,0,0.0,69,0.0,0.0,0,0.0,69,0,0,0.0,0.0,69,0.0,0.0,0.0,0.0,69
2004-11,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2004-12,0,0.0,0.0,0.0,57,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,0,57,0,0,0.0,0.0,57,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,0.0,57,0.0,0,0.0,0.0,54,0.0,0.0,0.0,0.0,57,0,57,0.0,0.0,0.0,0.0,57,0.0,0.0,0.0,0.0,57,0.0,0.0,0,0.0,57,0.0,0,0.0,0.0,57,0.0,0,0,0.0,57,0.0,0.0,0,0.0,57,0.0,0.0,0,0.0,57,0,0,47.0,0.0,57,0.0,0.0,0.0,0.0,57
2005-01,0,0.0,0.0,0.0,59,0.0,0.0,0.0,0.0,59,0.0,0.0,0.0,0,59,0,0,0.0,0.0,59,0.0,0.0,0.0,0.0,59,0.0,0.0,0.0,0.0,59,0.0,0.0,0.0,0.0,59,0.0,0,0.0,0.0,56,0.0,0.0,0.0,0.0,59,0,59,0.0,0.0,0.0,0.0,59,0.0,0.0,0.0,0.0,59,0.0,0.0,0,0.0,59,0.0,0,0.0,0.0,59,0.0,0,0,0.0,59,0.0,0.0,0,0.0,59,0.0,0.0,0,0.0,59,0,0,0.0,0.0,59,0.0,0.0,0.0,0.0,59
2005-02,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2005-03,0,0.0,0.0,0.0,71,0.0,0.0,0.0,0.0,71,0.0,0.0,0.0,0,71,0,0,0.0,0.0,71,0.0,0.0,0.0,0.0,71,0.0,0.0,0.0,0.0,71,0.0,0.0,0.0,0.0,71,0.0,0,0.0,0.0,67,0.0,0.0,0.0,0.0,71,0,71,0.0,0.0,0.0,0.0,71,0.0,0.0,0.0,0.0,71,0.0,0.0,0,0.0,71,0.0,0,0.0,0.0,71,0.0,0,0,0.0,71,0.0,0.0,0,0.0,71,0.0,0.0,0,0.0,71,0,0,0.0,0.0,71,0.0,0.0,0.0,0.0,71
2005-04,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2005-05,0,0.0,0.0,0.0,56,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,0,56,0,0,0.0,0.0,56,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,0.0,56,0.0,0,0.0,0.0,53,0.0,0.0,0.0,0.0,56,0,56,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,0.0,56,0.0,0.0,0,0.0,56,0.0,0,0.0,0.0,56,0.0,0,0,0.0,56,0.0,0.0,0,0.0,56,0.0,0.0,0,0.0,56,0,0,0.0,0.0,56,0.0,0.0,0.0,0.0,56
2005-06,0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0,51,0,0,0.0,0.0,51,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,51,0.0,0,0.0,0.0,49,0.0,0.0,0.0,0.0,51,0,51,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,51,0.0,0.0,0,0.0,51,0.0,0,0.0,0.0,51,0.0,0,0,0.0,51,0.0,0.0,0,0.0,51,0.0,0.0,0,0.0,51,0,0,0.0,0.0,51,0.0,0.0,0.0,0.0,51
2005-07,0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0,37,0,0,0.0,0.0,37,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,37,0.0,0,0.0,0.0,35,0.0,0.0,0.0,0.0,37,0,37,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,37,40.0,0.0,0,0.0,37,0.0,0,0.0,0.0,37,0.0,0,0,0.0,37,0.0,0.0,0,0.0,37,0.0,0.0,0,0.0,37,0,0,0.0,0.0,37,0.0,0.0,0.0,0.0,37
2005-08,0,0.0,0.0,0.0,48,0.0,0.0,0.0,0.0,48,0.0,0.0,0.0,0,48,0,0,0.0,0.0,48,0.0,0.0,0.0,0.0,48,0.0,0.0,0.0,0.0,48,0.0,0.0,0.0,0.0,48,0.0,0,0.0,0.0,46,0.0,0.0,0.0,0.0,48,0,48,0.0,0.0,0.0,0.0,48,0.0,0.0,0.0,0.0,48,0.0,0.0,0,0.0,48,0.0,0,0.0,0.0,48,0.0,0,0,0.0,48,0.0,0.0,0,0.0,48,0.0,0.0,0,0.0,48,0,0,0.0,0.0,48,0.0,0.0,0.0,0.0,48
2005-09,0,0.0,0.0,0.0,39,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,0,39,0,0,0.0,0.0,39,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,0.0,39,0.0,0,0.0,0.0,37,0.0,0.0,0.0,0.0,39,0,39,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,0.0,39,0.0,0.0,0,0.0,39,0.0,0,0.0,0.0,39,0.0,0,0,0.0,39,0.0,0.0,0,0.0,39,0.0,0.0,0,0.0,39,0,0,0.0,0.0,39,0.0,0.0,0.0,0.0,39
2005-10,0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0,62,0,0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0,0.0,0.0,59,0.0,0.0,0.0,0.0,62,0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0.0,0.0,62,0.0,0.0,0,0.0,62,0.0,0,0.0,0.0,62,0.0,0,0,0.0,62,0.0,0.0,0,0.0,62,0.0,0.0,0,0.0,62,0,0,0.0,0.0,62,0.0,0.0,0.0,0.0,62
2005-11,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2005-12,0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0,35,0,0,0.0,0.0,35,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,35,0.0,0,0.0,0.0,33,0.0,0.0,0.0,0.0,35,0,35,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,35,0.0,0.0,0,0.0,35,0.0,0,0.0,0.0,35,0.0,0,0,0.0,35,0.0,0.0,0,0.0,35,0.0,0.0,0,0.0,35,0,0,0.0,0.0,35,0.0,0.0,0.0,0.0,35
2006-01,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2006-02,0,0.0,0.0,0.0,56,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,0,56,0,0,0.0,0.0,56,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,0.0,56,0.0,0,0.0,0.0,53,0.0,0.0,0.0,0.0,56,0,56,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,0.0,56,0.0,0.0,0,0.0,56,0.0,0,0.0,0.0,56,0.0,0,0,0.0,56,0.0,0.0,0,0.0,56,0.0,0.0,0,0.0,56,0,0,0.0,0.0,56,0.0,0.0,0.0,0.0,56
2006-03,0,0.0,28.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
2006-04,0,0.0,0.0,0.0,41,0.0,0.0,0.0,0.0,41,0.0,0.0,0.0,0,41,0,0,0.0,0.0,41,0.0,0.0,0.0,0.0,41,0.0,0.0,0.0,0.0,41,0.0,0.0,0.0,0.0,41,0.0,0,0.0,0.0,39,0.0,0.0,0.0,0.0,41,0,41,0.0,0.0,0.0,0.0,41,0.0,0.0,0.0,0.0,41,0.0,0.0,0,27.0,41,0.0,0,0.0,0.0,41,0.0,0,0,0.0,41,0.0,0.0,0,0.0,41,0.0,0.0,0,0.0,41,0,0,0.0,0.0,41,0.0,0.0,0.0,0.0,41
2006-05,0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0,52,0,0,0.0,0.0,52,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,52,0.0,0,0.0,0.0,50,0.0,0.0,0.0,0.0,52,0,52,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,52,0.0,0.0,0,0.0,52,0.0,0,0.0,0.0,52,0.0,0,0,0.0,52,0.0,0.0,0,0.0,52,0.0,0.0,0,0.0,52,0,0,0.0,0.0,52,0.0,0.0,0.0,0.0,52
2006-06,0,0.0,0.0,0.0,56,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,0,56,0,0,0.0,0.0,56,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,0.0,56,0.0,0,0.0,0.0,53,0.0,0.0,0.0,0.0,56,0,56,0.0,0.0,0.0,0.0,56,0.0,0.0,0.0,0.0,56,0.0,0.0,0,0.0,56,0.0,0,0.0,0.0,56,0.0,0,0,0.0,56,0.0,0.0,0,0.0,56,0.0,0.0,0,0.0,56,0,0,0.0,0.0,56,0.0,0.0,0.0,0.0,56
2006-07,0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0,42,0,0,0.0,0.0,42,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,42,0.0,0,0.0,0.0,40,0.0,0.0,0.0,0.0,42,0,42,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,42,0.0,0.0,0,0.0,42,0.0,0,0.0,0.0,42,0.0,0,0,0.0,42,0.0,0.0,0,0.0,42,0.0,0.0,0,0.0,42,0,0,0.0,0.0,42,0.0,0.0,0.0,0.0,42
