Category: All categories

Month,rape: (Rangpur Division),persecution: (Rangpur Division),assassination: (Rangpur Division),terror: (Rangpur Division),Email: (Rangpur Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,0,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,88
2016-04,0,0,0,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,67
2016-09,66,0,0,0,48
2016-10,0,0,0,0,52
2016-11,39,0,0,0,98
2016-12,37,0,0,0,86
2017-01,55,0,0,0,0
2017-02,45,0,0,0,70
2017-03,33,0,0,0,100
2017-04,38,0,0,0,80
2017-05,34,0,0,0,67
2017-06,49,0,0,0,58
2017-07,43,0,0,0,54
2017-08,50,0,0,0,34
2017-09,81,0,0,0,47
2017-10,47,0,0,0,89
2017-11,33,0,0,0,67
2017-12,38,0,0,0,54
2018-01,35,0,0,0,42
2018-02,43,0,0,0,58
2018-03,39,0,15,0,48
2018-04,34,0,0,0,73
2018-05,42,0,0,0,58
2018-06,45,0,0,0,52
2018-07,37,0,0,0,46
2018-08,37,0,0,0,44
2018-09,38,0,0,0,48
2018-10,34,0,0,0,43
2018-11,26,0,0,0,56
2018-12,32,0,0,0,47
2019-01,37,0,0,0,50
2019-02,25,0,0,0,54
2019-03,24,0,0,0,54
2019-04,22,0,0,0,49
2019-05,23,0,0,0,60
2019-06,25,0,0,0,37
2019-07,29,0,0,0,52
2019-08,25,0,0,0,44
2019-09,22,0,0,0,52
2019-10,14,0,0,0,61
2019-11,17,0,0,0,46
2019-12,20,0,0,0,45
2020-01,22,0,0,0,43
2020-02,13,0,0,0,52
2020-03,24,0,0,0,39
2020-04,28,0,0,0,40
2020-05,32,0,0,0,38
2020-06,31,0,0,0,46
2020-07,29,0,0,0,48
2020-08,34,0,0,0,41
2020-09,29,0,0,1,39
2020-10,51,0,0,0,41
2020-11,25,0,0,0,35
2020-12,22,0,0,0,37
2021-01,25,0,0,0,41
2021-02,23,0,0,0,42
2021-03,23,0,0,0,38
2021-04,19,0,0,1,38
2021-05,28,0,0,1,37
2021-06,26,0,0,0,34
2021-07,26,0,0,0,31
2021-08,22,0,0,1,33
2021-09,23,0,0,1,32
2021-10,19,0,0,2,31
2021-11,17,0,0,0,40
2021-12,18,0,0,0,28
2022-01,21,0,0,0,34
2022-02,20,0,0,0,30
2022-03,20,0,0,0,39
2022-04,17,0,0,0,36
2022-05,21,0,0,0,36
2022-06,18,0,0,0,38
2022-07,18,0,0,0,27
2022-08,15,0,0,0,34
2022-09,14,0,0,1,38
2022-10,12,0,0,0,36
2022-11,9,0,0,0,36
2022-12,7,0,0,0,26
2023-01,7,0,0,1,28
2023-02,7,0,0,0,28
2023-03,6,0,0,0,29
2023-04,7,0,0,0,27
2023-05,8,0,0,0,31
2023-06,7,0,0,0,31
2023-07,8,0,0,0,24
2023-08,7,0,0,0,28
2023-09,7,0,0,0,25
2023-10,4,0,0,0,26
2023-11,5,0,0,0,26
2023-12,6,0,0,0,24
2024-01,5,0,0,0,25
2024-02,6,0,0,0,28
2024-03,5,0,0,0,26
2024-04,7,0,0,0,22
2024-05,7,0,0,0,27
2024-06,7,0,0,0,21
2024-07,6,0,0,0,26
2024-08,10,0,0,0,26
2024-09,5,0,0,0,27
2024-10,5,0,0,0,29
2024-11,5,0,0,0,28
2024-12,6,0,0,0,25
2025-01,5,0,0,0,27
2025-02,5,0,0,0,27
2025-03,7,0,0,0,30
2025-04,6,0,0,0,26
2025-05,5,0,0,0,26
2025-06,6,0,0,0,25
2025-07,5,0,0,0,22
2025-08,5,0,0,0,29
2025-09,4,0,<1,<1,22
